"testing","fold","env","individual","observed","predicted"
273,4,"16DS",40,161.67,166.559
276,4,"16DS",13,169.67,174.174
279,4,"16DS",16,182.67,174.108
282,4,"16DS",97,196.67,155.979
285,4,"16DS",93,194.33,184.774
289,4,"16WW",75,177,199.587
292,4,"16WW",40,210.33,178.381
293,4,"16WW",94,200,199.367
296,4,"16WW",29,220,180.143
315,4,"16WW",25,203,191.529
322,4,"16WW",30,198.33,192.572
323,4,"16WW",141,198.67,190.709
326,4,"16WW",11,191.67,188.472
328,4,"16WW",14,179,188.597
334,4,"16WW",97,204.33,166.862
336,4,"16WW",16,195,185.211
342,4,"16WW",156,189,202.657
352,4,"16WW",10,161.67,202.864
355,4,"16WW",123,147.67,189.159
356,4,"16WW",93,180.67,194.591
358,4,"16WW",90,190,209.924
374,4,"16WW",36,201.67,185.706
376,4,"16WW",112,189.33,197.768
377,4,"16WW",20,183.33,191.324
382,4,"16WW",13,196,182.095
2,5,"14DS",18,222.7,229.399
8,5,"14DS",15,192.7,181.492
19,5,"14DS",64,199,200.562
25,5,"14DS",1,199,173.52
47,5,"14DS",55,216,202.229
48,5,"14DS",133,206.7,173.23
51,5,"14DS",76,202,190.248
57,5,"14DS",24,204.3,213.58
60,5,"14DS",131,181.7,187.897
68,5,"14DS",9,197.3,209.034
74,5,"14DS",54,214.7,216.166
81,5,"14DS",165,204,218.056
82,5,"14DS",154,201.3,184.46
86,5,"14DS",173,206,184.451
94,5,"14DS",37,205.7,198.319
96,5,"14DS",78,191.3,221.128
99,5,"14WW",55,193.3,190.209
104,5,"14WW",24,199.7,202.09
107,5,"14WW",37,195.7,189.085
111,5,"14WW",76,203.7,183.965
112,5,"14WW",18,214,218.797
116,5,"14WW",133,180.7,162.533
125,5,"14WW",131,181.7,175.707
128,5,"14WW",1,188.7,163.593
130,5,"14WW",173,196,172.188
131,5,"14WW",15,179.3,167.461
133,5,"14WW",9,183.7,198.284
144,5,"14WW",154,186.3,174.993
148,5,"14WW",54,211.3,205.776
168,5,"14WW",64,202.7,187.811
176,5,"14WW",165,187.7,210.12
190,5,"14WW",78,192.7,211.535
193,5,"16DS",37,161,177.157
195,5,"16DS",173,173.67,164.713
213,5,"16DS",64,188.67,181.426
215,5,"16DS",1,184.67,154.133
216,5,"16DS",154,186.33,165.471
224,5,"16DS",18,166,215.216
225,5,"16DS",24,180.67,191.022
231,5,"16DS",133,182.33,153.954
237,5,"16DS",131,164.33,171.477
240,5,"16DS",55,190.67,181.58
243,5,"16DS",54,189.67,195.924
264,5,"16DS",76,187,170.12
271,5,"16DS",78,169.33,204.38
272,5,"16DS",165,144.67,199.532
274,5,"16DS",15,174,162.91
288,5,"16DS",9,191.33,189.196
304,5,"16WW",133,191,162.622
311,5,"16WW",1,189,164.068
316,5,"16WW",37,199,186.754
317,5,"16WW",24,203,199.679
321,5,"16WW",154,192,176.985
325,5,"16WW",55,206.67,192.494
335,5,"16WW",64,201,190.819
337,5,"16WW",78,191.33,206.928
338,5,"16WW",18,179,221.939
341,5,"16WW",165,193.33,208.571
349,5,"16WW",15,181.67,172.371
357,5,"16WW",9,200.33,195.019
368,5,"16WW",131,183.33,181.489
370,5,"16WW",54,210.67,202.789
371,5,"16WW",76,197.33,176.698
375,5,"16WW",173,197,177.648
