Env,Variety,isolate,HP,lesionO,index
1,CML322,FV34715,CML322xFV34715,18,1715
1,CML322,FV34713,CML322xFV34713,52,1717
1,CML322,FV34713,CML322xFV34713,47,1718
1,CML322,FV34713,CML322xFV34713,58,1719
1,CML322,FV34183,CML322xFV34183,36,1720
1,CML322,FV34183,CML322xFV34183,48,1721
1,CML322,FV34183,CML322xFV34183,45,1722
1,CML322,FV34179,CML322xFV34179,61,1723
1,CML322,FV34179,CML322xFV34179,9,1725
1,CML322,FV32973,CML322xFV32973,45,1727
1,CML322,FV32973,CML322xFV32973,17,1728
1,CML322,FV32970,CML322xFV32970,26,1729
1,CML322,FV32970,CML322xFV32970,45,1730
1,CML322,FV32970,CML322xFV32970,46,1731
1,CML322,FV25228,CML322xFV25228,38,1733
1,CML322,FV25228,CML322xFV25228,32,1734
1,CML322,FV25055,CML322xFV25055,39,1735
1,CML322,FV25055,CML322xFV25055,30,1736
1,CML322,FV25055,CML322xFV25055,30,1737
1,CML322,FV20956,CML322xFV20956,29,1738
1,CML322,FV20956,CML322xFV20956,32,1739
1,CML322,FV20956,CML322xFV20956,38,1740
1,M162W,FV34715,M162WxFV34715,16,1741
1,M162W,FV34715,M162WxFV34715,29,1743
1,M162W,FV34713,M162WxFV34713,24,1744
1,M162W,FV34713,M162WxFV34713,49,1745
1,M162W,FV34183,M162WxFV34183,24,1747
1,M162W,FV34183,M162WxFV34183,17,1748
1,M162W,FV34179,M162WxFV34179,26,1750
1,M162W,FV34179,M162WxFV34179,30,1751
1,M162W,FV32973,M162WxFV32973,15,1753
1,M162W,FV32973,M162WxFV32973,17,1754
1,M162W,FV32973,M162WxFV32973,16,1755
1,M162W,FV32970,M162WxFV32970,59,1756
1,M162W,FV32970,M162WxFV32970,22,1758
2,M162W,FV25228,M162WxFV25228,39,1759
2,M162W,FV25228,M162WxFV25228,34,1760
2,CI3A,FV34713,CI3AxFV34713,29,1772
2,CI3A,FV34713,CI3AxFV34713,40,1773
2,CI3A,FV34183,CI3AxFV34183,35,1774
2,CI3A,FV34183,CI3AxFV34183,41,1775
2,CI3A,FV34179,CI3AxFV34179,32,1778
2,CI3A,FV32973,CI3AxFV32973,4,1780
2,CI3A,FV32973,CI3AxFV32973,5,1781
2,CI3A,FV32973,CI3AxFV32973,9,1782
2,CI3A,FV32970,CI3AxFV32970,17,1784
2,CI3A,FV25228,CI3AxFV25228,36,1786
2,CI3A,FV25228,CI3AxFV25228,20,1787
2,CI3A,FV25055,CI3AxFV25055,31,1789
2,CI3A,FV25055,CI3AxFV25055,26,1790
2,CI3A,FV25055,CI3AxFV25055,18,1791
2,CML323,FV34183,CML323xFV34183,30,1801
2,CML323,FV34183,CML323xFV34183,3,1802
2,CML323,FV34183,CML323xFV34183,12,1803
2,CML323,FV34179,CML323xFV34179,47,1804
2,CML323,FV34179,CML323xFV34179,17,1805
2,CML323,FV34179,CML323xFV34179,10,1806
2,CML323,FV32973,CML323xFV32973,5,1807
2,CML323,FV32973,CML323xFV32973,3,1808
2,CML323,FV32973,CML323xFV32973,18,1809
2,CML323,FV32970,CML323xFV32970,7,1810
2,CML323,FV32970,CML323xFV32970,39,1811
2,CML323,FV32970,CML323xFV32970,23,1812
2,CML323,FV25228,CML323xFV25228,34,1813
2,CML323,FV25228,CML323xFV25228,10,1814
2,CML323,FV25228,CML323xFV25228,40,1815
2,CML323,FV25055,CML323xFV25055,46,1816
2,CML323,FV25055,CML323xFV25055,45,1817
2,CML323,FV25055,CML323xFV25055,39,1818
2,CML323,FV20956,CML323xFV20956,10,1819
2,CML323,FV20956,CML323xFV20956,4,1820
2,CML323,FV20956,CML323xFV20956,50,1821
2,NC356,FV34179,NC356xFV34179,42,1831
2,NC356,FV34179,NC356xFV34179,39,1833
2,NC356,FV32973,NC356xFV32973,13,1834
2,NC356,FV32973,NC356xFV32973,8,1835
2,NC356,FV32973,NC356xFV32973,5,1836
2,NC356,FV32970,NC356xFV32970,22,1837
2,NC356,FV32970,NC356xFV32970,9,1838
2,NC356,FV32970,NC356xFV32970,7,1839
2,NC356,FV25228,NC356xFV25228,29,1840
2,NC356,FV25228,NC356xFV25228,35,1841
2,NC356,FV25228,NC356xFV25228,18,1842
2,NC356,FV25055,NC356xFV25055,3,1843
2,NC356,FV25055,NC356xFV25055,8,1844
2,NC356,FV25055,NC356xFV25055,13,1845
2,NC356,FV20956,NC356xFV20956,26,1846
2,NC356,FV20956,NC356xFV20956,17,1847
2,NC356,FV20956,NC356xFV20956,27,1848
2,NC356,FV20956,NC356xFV20956,19,1849
2,NC356,FV20956,NC356xFV20956,10,1850
2,NC356,FV20956,NC356xFV20956,15,1851
2,L317,FV25228,L317xFV25228,12,1867
2,L317,FV25228,L317xFV25228,19,1869
2,L317,FV25055,L317xFV25055,22,1871
2,L317,FV25055,L317xFV25055,17,1872
2,L317,FV25055,L317xFV25055,25,1873
2,L317,FV20956,L317xFV20956,32,1877
2,L317,FV13563,L317xFV13563,20,1881
2,SC357,FV32970,SC357xFV32970,30,1891
2,SC357,FV32970,SC357xFV32970,39,1893
2,SC357,FV25228,SC357xFV25228,2,1894
2,SC357,FV25228,SC357xFV25228,3,1895
2,SC357,FV25228,SC357xFV25228,7,1896
2,SC357,FV25055,SC357xFV25055,21,1897
2,SC357,FV25055,SC357xFV25055,11,1898
2,SC357,FV20956,SC357xFV20956,41,1901
2,SC357,FV20956,SC357xFV20956,14,1902
2,SC357,FV20956,SC357xFV20956,14,1903
2,SC357,FV13563,SC357xFV13563,5,1906
2,SC357,FV13563,SC357xFV13563,8,1907
2,NC352,FV25228,NC352xFV25228,9,1921
2,NC352,FV25228,NC352xFV25228,9,1922
2,NC352,FV25228,NC352xFV25228,30,1923
2,NC352,FV25055,NC352xFV25055,25,1924
2,NC352,FV25055,NC352xFV25055,15,1925
2,NC352,FV20956,NC352xFV20956,13,1928
2,NC352,FV20956,NC352xFV20956,42,1929
2,NC352,FV20956,NC352xFV20956,42,1930
2,NC352,FV20956,NC352xFV20956,20,1931
2,NC352,FV13563,NC352xFV13563,1,1933
2,NC352,FV13563,NC352xFV13563,4,1934
2,NC352,FV54917,NC352xFV54917,18,1940
2,NC352,FV54917,NC352xFV54917,31,1941
2,NC352,FV34775,NC352xFV34775,19,1942
2,NC352,FV34775,NC352xFV34775,31,1943
2,NC352,FV34775,NC352xFV34775,27,1944
2,M37W,FV25055,M37WxFV25055,10,1951
2,M37W,FV25055,M37WxFV25055,12,1952
2,M37W,FV25055,M37WxFV25055,15,1953
2,M37W,FV25055,M37WxFV25055,11,1954
2,M37W,FV25055,M37WxFV25055,15,1955
2,M37W,FV25055,M37WxFV25055,11,1956
2,M37W,FV20956,M37WxFV20956,24,1957
2,M37W,FV20956,M37WxFV20956,14,1958
2,M37W,FV20956,M37WxFV20956,24,1959
2,M37W,FV13563,M37WxFV13563,12,1960
2,M37W,FV13563,M37WxFV13563,11,1962
2,M37W,FV54917,M37WxFV54917,22,1966
2,M37W,FV54917,M37WxFV54917,29,1967
2,M37W,FV54917,M37WxFV54917,28,1968
2,M37W,FV34775,M37WxFV34775,19,1969
2,M37W,FV34775,M37WxFV34775,16,1970
2,M37W,FV34775,M37WxFV34775,13,1971
2,M37W,FV34768,M37WxFV34768,19,1972
2,M37W,FV34768,M37WxFV34768,9,1973
2,M37W,FV34768,M37WxFV34768,10,1974
2,T234,FV20956,T234xFV20956,14,1983
2,T234,FV20956,T234xFV20956,34,1984
2,T234,FV20956,T234xFV20956,32,1985
2,T234,FV20956,T234xFV20956,21,1986
2,T234,FV13563,T234xFV13563,22,1988
2,T234,FV13563,T234xFV13563,12,1989
2,T234,FV54917,T234xFV54917,14,1993
2,T234,FV54917,T234xFV54917,29,1994
2,T234,FV54917,T234xFV54917,16,1995
2,T234,FV34775,T234xFV34775,21,1996
2,T234,FV34775,T234xFV34775,21,1997
2,T234,FV34768,T234xFV34768,37,1999
2,T234,FV34768,T234xFV34768,10,2000
2,T234,FV34765,T234xFV34765,27,2003
2,T234,FV34765,T234xFV34765,8,2004
2,T234,FV34761,T234xFV34761,43,2006
2,T234,FV34761,T234xFV34761,6,2007
2,T234,FV34754,T234xFV34754,10,2009
2,CI64,FV13563,CI64xFV13563,44,2011
2,CI64,FV13563,CI64xFV13563,58,2012
2,CI64,FV13563,CI64xFV13563,41,2013
2,CI64,FV13563,CI64xFV13563,21,2014
2,CI64,FV13563,CI64xFV13563,23,2016
2,CI64,FV54917,CI64xFV54917,28,2021
2,CI64,FV54917,CI64xFV54917,27,2022
2,CI64,FV34775,CI64xFV34775,41,2023
2,CI64,FV34775,CI64xFV34775,41,2024
2,CI64,FV34775,CI64xFV34775,23,2025
2,CI64,FV34768,CI64xFV34768,34,2027
2,CI64,FV34765,CI64xFV34765,32,2029
2,CI64,FV34765,CI64xFV34765,26,2031
2,CI64,FV34761,CI64xFV34761,29,2032
2,CI64,FV34761,CI64xFV34761,20,2033
2,CI64,FV34761,CI64xFV34761,28,2034
2,CML333,FV13563,CML333xFV13563,22,2041
2,CML333,FV13563,CML333xFV13563,7,2043
2,CML333,FV54917,CML333xFV54917,32,2047
2,CML333,FV54917,CML333xFV54917,53,2048
2,CML333,FV54917,CML333xFV54917,80,2049
2,CML333,FV34775,CML333xFV34775,84,2050
2,CML333,FV34775,CML333xFV34775,50,2052
2,CML333,FV34768,CML333xFV34768,5,2054
2,CML333,FV34768,CML333xFV34768,38,2055
2,CML333,FV34765,CML333xFV34765,49,2056
2,CML333,FV34765,CML333xFV34765,43,2057
2,CML333,FV34765,CML333xFV34765,19,2058
2,Tzi9,FV54917,Tzi9xFV54917,46,2074
2,Tzi9,FV54917,Tzi9xFV54917,70,2075
2,Tzi9,FV34775,Tzi9xFV34775,32,2079
2,Tzi9,FV34768,Tzi9xFV34768,82,2080
2,Tzi9,FV34768,Tzi9xFV34768,35,2082
2,Tzi9,FV34765,Tzi9xFV34765,70,2084
2,Tzi9,FV34765,Tzi9xFV34765,12,2085
2,Tzi9,FV34761,Tzi9xFV34761,37,2088
2,Tzi9,FV34754,Tzi9xFV34754,15,2090
2,Tzi9,FV34754,Tzi9xFV34754,24,2091
2,Tzi9,FV28947,Tzi9xFV28947,27,2092
2,Tzi9,FV28947,Tzi9xFV28947,23,2093
2,Tzi9,FV28947,Tzi9xFV28947,29,2094
2,Tzi9,FV28946,Tzi9xFV28946,39,2096
2,Tzi9,FV28945,Tzi9xFV28945,30,2098
2,Tzi9,FV28945,Tzi9xFV28945,42,2099
2,Tzi9,FV28945,Tzi9xFV28945,41,2100
2,Ky21,FV54917,Ky21xFV54917,24,2101
2,Ky21,FV54917,Ky21xFV54917,33,2103
2,Ky21,FV34775,Ky21xFV34775,26,2104
2,Ky21,FV34775,Ky21xFV34775,37,2105
2,Ky21,FV34775,Ky21xFV34775,36,2106
2,Ky21,FV34768,Ky21xFV34768,26,2108
