"testing","fold","env","individual","observed","predicted"
140,4,"14WW",11,180,187.78
142,4,"14WW",5,178,194.372
144,4,"14WW",154,186.3,189.832
147,4,"14WW",177,193.3,196.848
159,4,"14WW",8,188,193.047
171,4,"14WW",2,181.3,190.446
174,4,"14WW",143,188,187.022
179,4,"14WW",77,177,183.143
182,4,"14WW",141,192.7,193.166
183,4,"14WW",87,199.3,194.918
200,4,"16DS",75,172.33,172.573
202,4,"16DS",123,0,113.086
209,4,"16DS",128,169.67,176.657
211,4,"16DS",69,181.67,194.161
218,4,"16DS",17,198.67,185.063
223,4,"16DS",28,185.67,189.44
246,4,"16DS",156,187.33,184.634
254,4,"16DS",3,186,166.361
258,4,"16DS",125,170.67,174.029
259,4,"16DS",103,184.67,190.693
268,4,"16DS",20,181,178.918
271,4,"16DS",78,169.33,178.488
281,4,"16DS",42,186,180.154
283,4,"16DS",106,196.67,190.673
296,4,"16WW",29,220,201.537
297,4,"16WW",121,92,118.772
310,4,"16WW",67,194.67,198.156
315,4,"16WW",25,203,195.779
318,4,"16WW",4,208.67,191.576
319,4,"16WW",138,182.67,180.479
322,4,"16WW",30,198.33,197.956
335,4,"16WW",64,201,195.055
341,4,"16WW",165,193.33,180.572
344,4,"16WW",35,189,194.123
345,4,"16WW",83,190,201.33
348,4,"16WW",48,179.67,189.661
356,4,"16WW",93,180.67,190.217
357,4,"16WW",9,200.33,189.804
360,4,"16WW",65,196,194.603
367,4,"16WW",52,202.67,208.894
374,4,"16WW",36,201.67,201.214
381,4,"16WW",139,210.67,204.661
383,4,"16WW",26,204.67,201.082
8,5,"14DS",15,192.7,194.118
11,5,"14DS",142,209,193.564
13,5,"14DS",52,224,213.499
14,5,"14DS",72,200,206.287
16,5,"14DS",26,218.7,204.787
21,5,"14DS",103,208.3,205.179
24,5,"14DS",87,202.3,208.647
29,5,"14DS",28,210.3,206.749
32,5,"14DS",158,211.7,222.992
33,5,"14DS",90,193,194.576
38,5,"14DS",128,194.3,196.165
44,5,"14DS",8,205.7,203.861
51,5,"14DS",76,202,208.245
53,5,"14DS",92,199,198.724
61,5,"14DS",19,202.3,195.846
70,5,"14DS",161,214,212.218
74,5,"14DS",54,214.7,216.098
80,5,"14DS",58,211.3,207.498
82,5,"14DS",154,201.3,200.691
87,5,"14DS",47,208.3,212.225
100,5,"14WW",70,173.7,190.89
101,5,"14WW",60,193,199.034
102,5,"14WW",125,183,180.958
103,5,"14WW",83,199,196.022
105,5,"14WW",106,203.7,196.725
109,5,"14WW",20,189.3,186.316
117,5,"14WW",136,177.7,190.734
118,5,"14WW",6,184,183.933
119,5,"14WW",94,198.3,194.081
132,5,"14WW",89,196.3,206.605
135,5,"14WW",29,208.7,197.901
138,5,"14WW",68,204,196.444
139,5,"14WW",4,182.7,193.736
150,5,"14WW",14,187.3,182.751
151,5,"14WW",82,198.3,195.977
163,5,"14WW",3,186.7,181.542
168,5,"14WW",64,202.7,190.446
176,5,"14WW",165,187.7,185.02
177,5,"14WW",40,202.3,191.415
186,5,"14WW",53,200.3,194.449
189,5,"14WW",159,200,190.575
190,5,"14WW",78,192.7,184.613
192,5,"14WW",123,89.7,97.129
195,5,"16DS",173,173.67,186.604
198,5,"16DS",85,177.67,175.415
206,5,"16DS",172,185,190.194
212,5,"16DS",2,190,173.242
215,5,"16DS",1,184.67,176.941
219,5,"16DS",139,193.33,197.396
224,5,"16DS",18,166,194.048
226,5,"16DS",61,188,195.051
233,5,"16DS",145,178.33,194.54
244,5,"16DS",177,193.67,180.367
250,5,"16DS",36,192,178.672
256,5,"16DS",114,192,195.332
257,5,"16DS",67,191.33,190.867
267,5,"16DS",65,190.33,182.717
279,5,"16DS",16,182.67,194.451
282,5,"16DS",97,196.67,181.19
290,5,"16WW",69,204,203.49
304,5,"16WW",133,191,190.882
317,5,"16WW",24,203,194.603
323,5,"16WW",141,198.67,193.315
325,5,"16WW",55,206.67,199.796
329,5,"16WW",42,188.33,196.298
340,5,"16WW",95,207.33,203.944
346,5,"16WW",27,189,193.087
354,5,"16WW",143,186.33,185.553
359,5,"16WW",107,186,194.772
361,5,"16WW",38,189.33,189.958
365,5,"16WW",81,205,200.706
366,5,"16WW",148,181,172.001
376,5,"16WW",112,189.33,188.203
382,5,"16WW",13,196,182.96
