"testing","fold","env","individual","observed","predicted"
295,5,"16WW",158,209,202.86
299,5,"16WW",66,194.33,177.24
303,5,"16WW",92,192.33,210.298
304,5,"16WW",133,191,172.121
314,5,"16WW",61,208.33,207.587
315,5,"16WW",25,203,195.793
333,5,"16WW",128,183,209.462
337,5,"16WW",78,191.33,197.972
338,5,"16WW",18,179,210.575
355,5,"16WW",123,147.67,161.626
363,5,"16WW",177,195,180.625
364,5,"16WW",28,204.33,204.114
375,5,"16WW",173,197,187.386
384,5,"16WW",8,187.67,190.35
