"testing","fold","env","individual","observed","predicted"
283,5,"16DS",106,196.67,187.292
290,5,"16WW",69,204,205.091
293,5,"16WW",94,200,191.748
297,5,"16WW",121,92,194.13
302,5,"16WW",106,206.67,200.477
303,5,"16WW",92,192.33,193.065
322,5,"16WW",30,198.33,174.035
327,5,"16WW",89,203,206.606
328,5,"16WW",14,179,191.623
336,5,"16WW",16,195,196.432
338,5,"16WW",18,179,205.983
362,5,"16WW",70,194,179.839
369,5,"16WW",68,201.33,197.72
373,5,"16WW",72,198.33,193.061
378,5,"16WW",77,178,208.174
381,5,"16WW",139,210.67,191.849
382,5,"16WW",13,196,182.533
