"ENV","Plot","Rep","Bloc","DH","GY","EPP","ASI","AD","PH","SD","uid","EID"
"14WW",99,1,7,96,4.37,0.9,3,58,199,61,"14WW_96",2
"14WW",100,1,7,165,NA,NA,1,60,187.7,61,"14WW_165",2
"14WW",101,1,7,40,3.74,0.7,2,57,202.3,59,"14WW_40",2
"14WW",102,1,7,97,4.85,0.8,3,59,186,62,"14WW_97",2
"14WW",103,1,7,77,3.04,0.6,3,60,177,63,"14WW_77",2
"14WW",104,1,7,107,5.84,0.9,1,57,191.3,58,"14WW_107",2
"14WW",105,1,7,90,4.07,0.9,2,57,172.7,59,"14WW_90",2
"14WW",107,1,8,141,6.38,0.9,3,53,192.7,56,"14WW_141",2
"14WW",108,1,8,87,5.36,0.9,4,54,199.3,58,"14WW_87",2
"14WW",109,1,8,58,5.77,0.8,1,56,196,57,"14WW_58",2
"14WW",110,1,8,103,NA,NA,0,57,202,57,"14WW_103",2
"14WW",112,1,8,53,5.7,1,1,54,200.3,55,"14WW_53",2
"14WW",113,1,8,69,4.74,0.9,1,57,207.3,58,"14WW_69",2
"14WW",114,1,8,75,5.48,1,3,54,186,57,"14WW_75",2
"14WW",115,1,8,159,6.8,0.9,1,57,200,58,"14WW_159",2
"14WW",116,1,8,78,7.13,1,4,54,192.7,58,"14WW_78",2
"14WW",118,1,8,17,7.27,1,2,56,181,58,"14WW_17",2
"14WW",119,1,8,123,NA,NA,0,68,89.7,68,"14WW_123",2
"16DS",1,1,1,37,3.23,0.88,2,63,161,65,"16DS_37",3
"16DS",2,1,1,143,4.33,1.07,2,58,167,60,"16DS_143",3
"16DS",3,1,1,173,3.14,0.79,3,59,173.67,62,"16DS_173",3
"16DS",4,1,1,29,3.44,1.06,3,59,184,62,"16DS_29",3
"16DS",5,1,1,159,4.95,1.09,3,59,187.33,62,"16DS_159",3
"16DS",6,1,1,85,3.44,1,4,58,177.67,62,"16DS_85",3
"16DS",7,1,1,161,3.2,0.94,5,58,200.67,63,"16DS_161",3
"16DS",10,1,1,75,3.82,0.9,3,59,172.33,62,"16DS_75",3
"16DS",12,1,2,58,5.33,0.96,3,60,190.33,63,"16DS_58",3
"16DS",13,1,2,123,0,0,0,NA,NA,NA,"16DS_123",3
"16DS",14,1,2,87,5.39,1,4,57,188.67,61,"16DS_87",3
"16DS",15,1,2,25,3.73,0.86,3,58,181,61,"16DS_25",3
"16DS",16,1,2,89,4.5,0.94,2,58,195.67,60,"16DS_89",3
"16DS",17,1,2,172,4.44,0.92,4,58,185,62,"16DS_172",3
"16DS",18,1,2,107,4.33,1,2,58,186.33,60,"16DS_107",3
"16DS",19,1,2,136,3.08,0.88,4,59,183.33,63,"16DS_136",3
"16DS",20,1,2,128,4.03,0.85,4,58,169.67,62,"16DS_128",3
"16DS",21,1,2,72,5.66,1.04,1,59,182.33,60,"16DS_72",3
"16DS",22,1,2,69,3.56,0.78,2,59,181.67,61,"16DS_69",3
"16DS",23,1,3,2,3.23,1,3,58,190,61,"16DS_2",3
"16DS",24,1,3,64,4.62,0.82,5,59,188.67,64,"16DS_64",3
"16DS",25,1,3,148,4.77,1,3,58,164.67,61,"16DS_148",3
